Date,Source,Site ID,POC,Daily Max 8-hour Ozone Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
07/02/2023,AQS,370210030,1,0.031,ppm,29,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/03/2023,AQS,370210030,1,0.033,ppm,31,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/04/2023,AQS,370210030,1,0.03,ppm,28,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/05/2023,AQS,370210030,1,0.033,ppm,31,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/06/2023,AQS,370210030,1,0.039,ppm,36,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/07/2023,AQS,370210030,1,0.04,ppm,37,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/08/2023,AQS,370210030,1,0.042,ppm,39,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/09/2023,AQS,370210030,1,0.042,ppm,39,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/10/2023,AQS,370210030,1,0.044,ppm,41,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/11/2023,AQS,370210030,1,0.048,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
07/12/2023,AQS,370210030,1,0.047,ppm,44,Bent Creek,17,100.0000,44201,Ozone,11700,"Asheville, NC",37,North Carolina,21,Buncombe,35.500102002749,-82.5998603096712
